Metric,Value,Percentage
Accuracy,0.3680465717981889,36.80465717981889
Weighted Precision,0.4187105702676769,41.87105702676769
Weighted Recall,0.3680465717981889,36.80465717981889
Weighted F1,0.3547529127952897,35.47529127952897
